Korean,English
도입,Introduction
몰다,drive
배우,actor
비추다,irradiate
신발,shoes
알,egg
앞서다,precede
여건,Condition
오래전,lang syne
자격,Qualification
통제,Control
계단,stairs
김치,Kimchi
끄덕이다,Nod
낯설다,strange
높이,Height
닮다,Resemble
마음속,In mind
못지않다,Not
반영하다,Reflect
뼈,bone
성장하다,Grow
소속,belong
연결되다,Connect
장사,Sale
제작,produce
제한,limit
차다,cold
추진,propel
취하다,get drunk
콩,bean
한숨,sigh
헤어지다,Say goodbye
구입하다,Buy
날다,fly
너머,Beyond
동기,motivation
마련,prepared
살,fat
선장,Captain
설탕,Sugar
순수하다,pure
스타일,style
시점,Point
싸다,cheap
의사,doctor
집중,Concentration
코드,code
큰일,Big day
거짓말,lie
대단하다,Awesome
대단히,very
마주,Facing
세계관,Worldview
어제,yesterday
온통,all
의존하다,be dependent
자세히,Details
점심,Lunch
정확히,exactly
지치다,exhausted
청년,youth
혀,tongue
확대하다,to enlarge
후춧가루,Pepper
건설하다,Build
경쟁력,Competitiveness
마침,Finish
신용,credit
연락,Communication
온몸,Whole body
정,affection
정신적,mental
증상,Symptom
출연하다,Starring
칼,knife
한꺼번에,At the same time
강제,compulsion
건너다,to cross
깨다,wake up
낚시,fishing
다가가다,Go closer
뛰어들다,Jump
문자,message
묻다,ask
비롯되다,Come with
슬프다,sad
신부,priest
여겨지다,Be worried
오징어,squid
요금,fee
용돈,Pin money
위주,Gentle
음료,beverage
의자,chair
전자,Electron
전해지다,Shine
전환,transform
지경,Up
진행,Progress
카메라,camera
통증,ache
편리하다,convenient
하천,River
현금,cash
화학,chemistry
활발하다,It is actively
가리다,blind
거칠다,crudity
그나마,A
그야말로,That's me
껍질,skin
남부,Southern
명령,Command
몰래,stealthily
무조건,must
반장,Class monitor
부근,vicinity
선택,select
역사가,historian
연구자,Researcher
연기자,actor
워낙,So
정리,organize
조그맣다,Be achieved
줄기,stem
찾아내다,Find out
토요일,Saturday
경찰관,police officer
권하다,recommend
극장,theater
끝내,End
대문,main door
더욱이,Furthermore
별도,Separate
비극,tragedy
솜씨,workmanship
시내,Downtown
신,God
실내,inside
쏟다,pour out
연결하다,Interlink
외교,diplomacy
주머니,pocket
계약,contract
과장,exaggeration
극,pole
나란히,side by side
다방,coffee house
부끄럽다,I'm embarrassed
성공,success
수행하다,Conduct
신청,application
실로,Thread
아픔,pain
알아듣다,understand
약간,slightly
연기,Acting
이동,move
인연,Destiny
일행,party
지도,map
지식인,intellectual
진지하다,Serious
치다,hit
호흡,Breath
흔들리다,Oscillate
근본,Fundamental
기온,Temperatures
날아가다,Flew
많아지다,Have a lot of
바위,rock
버릇,Habit
비판하다,Criticize
빨갛다,Reduce
세워지다,Establish
술집,bar
쉬다,rest
오랜만,Long time no see
일부러,on purpose
전체적,Overall
절반,half
접근하다,draw close
편안하다,It is comfortable
풍경,Scenery
확실히,surely
흩어지다,scatter
갈다,Sharpen
교류,A.C
글쓰기,writing
기후,climate
내내,all the time
대기업,major company
대응하다,to deal with
도구,tool
매력,Charm
백,hundred
보험,insurance
부럽다,envy
부장,Director
섞이다,be mixed
소,cow
심리,trial
심정,Sincerity
쏘다,shot
아줌마,Madame
위치하다,to be placed
이룩하다,Fulfill
이틀,Two days
전달하다,deliver
정말로,really
추다,dance
켜다,turn on
코너,corner
행동하다,Act
형사,Detective
희곡,drama
감동,moved
공항,airplane
군인,soldier
굳이,Dare
그늘,shade
급하다,in a hurry
달걀,egg
대중문화,Popular culture
마련되다,Set up
마루,Floor
무게,weight
물기,Water
성적,sexual
솔직히,To be honest
시도하다,Attempt
아니요,no
예절,etiquette
인상,impression
인터넷,Internet
적용하다,apply
전통적,Traditional
참가하다,Participate
치마,skirt
친척,Relative
특정하다,Specify
호텔,hotel
경계,boundary
공식,Formula
그다지,very
긴장,Nervous
깎다,cut
다리,Leg
따라가다,to follow
머물다,stay
명예,honor
뱃사람,seafarer
부처,Buddha
숙이다,Souse
아가씨,miss
온도,Temperature
이마,forehead
절대로,never
지붕,roof
지원하다,Support
진짜,really
짙다,Dich
창밖,Outside window
청소,cleaning
침묵,silence
텍스트,text
표면,surface
햇살,sunlight
객관적,Objective
걱정하다,Worry
경제적,economical
구름,cloud
구석,corner
끄다,turn off
담당하다,It is responsible for
둥지,nest
벗기다,peel
부대,army unit
불빛,fire
서클,circle
시청자,viewers
실체,substance
엄격하다,strict
완벽하다,It is perfect
완전하다,Fully
절,I
종업원,Employee
증가,increase
출연,Exit
학기,semester
한동안,for a while
후기,review
계절,season
만지다,touch
목사,Minister
바늘,needle
버티다,Withstand
부,wealth
분포하다,Distribute
비중,importance
수입,income
아이디어,idea
양쪽,both side
예컨대,for example
운동장,Playground
전개,deployment
접촉,contact
짐,load
풀,grass
해마다,year after year
후배,Junior
휴가,vacation
경기,game
계곡,Valley
국회의원,member of Congress
다투다,contend
도저히,Quietly
뻗다,stretch
생활하다,live
솔직하다,honest
안타깝다,Regretful
앞장서다,Take ahead
요청하다,request
이르다,early
일치하다,Coincide
젓다,row
정치권,Politician
처녀,Virgin
축제,festival
터뜨리다,Bite
학습,learning
개발되다,Develop
높이,Height
당연히,of course
대비하다,prepare
동쪽,East
떨리다,nervous
마구,harness
만남,meeting
미디어,media
복도,corridor
수상,Awards
쓰러지다,Fall down
영상,video
영혼,soul
운전사,driver
자랑스럽다,proud
잠깐,for a moment
적당하다,It is suitable
적용되다,Apply
주,main
지속적,constantly
진행하다,progress
차별,discrimination
곳곳,Lots
구분,division
금지,prohibition
내지,To
달려오다,Ride
둘러보다,Look around
분노,anger
비교,comparison
소위,ensign
스치다,lick
역사적,classic
열차,train
요즈음,these days
유난히,Exceptionally
의무,duty
잃어버리다,lose
잠깐,for a moment
잠들다,fall asleep
정식,Formally
조용하다,quiet
즉시,Immediately
최선,best
탑,tower
한복,Han bok
활동하다,To be active
건축,construct
귀엽다,cute
답답하다,frustrated
당황하다,Panic
동일하다,same
떨어뜨리다,To drop
똑같이,same
라면,Ramen
말,word
밀가루,flour
바깥,outside
바지,Pants
벌리다,be profitable
보고서,report
보관하다,store
부딪치다,Strike
빨래,Wash
상하다,rot
설치,installation
식용유,cooking oil
싫어하다,Dislike
업종,Sectors
연출,Production
테이블,table
트이다,Tits
피곤하다,tired
한국어,Korean
한자,Chinese character
겁,cowardice
관리,management
국제화,Internationalization
근육,muscle
깔리다,Take
사전,dictionary
산소,Oxygen
석유,oil
소리치다,to yell
시,city
신선하다,fresh
안경,glasses
약속하다,Promise
연합,Union
인격,personality
장,page
적,enemy
조심하다,Be careful
질,quality
찌르다,stab
책임자,Personnel
총,gun
취미,hobby
표,graph
품목,subject
확대되다,Expand
거실,living room
논,rice paddy
덥다,hot
둘째,second
바보,Silly
별,star
보람,Reward
부작용,Side Effect
비난,criticism
신고,Declaration
야구,baseball
어떡하다,Disable
예상,expectation
위협,Threat
이,this
이상,more
잠기다,sink
주고받다,give and take
주먹,fist
지지,support
털다,whisk
경고,warning
공개하다,Open to the public
과목,subject
구경,caliber
그분,His
근무,work
논쟁,arguement
달아나다,Run away
묶다,tie
성명,name
소스,sauce
수십,Dozens
신다,put on
우리말,Our words
유교,Confucianism
이불,bedding
이성,Sane
일상,daily life
자동,Automatic
장래,future
전개되다,Deploy
죄송하다,sorry
중요성,importance
크다,Big
탤런트,Talent
특별히,especially
품질,quality
회견,interview
훔치다,steal
흔적,trace
고전,classic
과학적,Scientific
구분하다,divide
그럼,then
뇌,brain
봉투,envelope
분명,certainly
사설,editorial
승리,Victory
좌우,Right and left
주,main
지다,lose
추억,memory
하여튼,anyway
함부로,thoughtlessly
향기,Scent
현지,local
가늘다,Thin
개인적,Personal
겉,outside
굽히다,bend
근무하다,work
깜짝,surprise
넓히다,widen
대,big
떠들다,be noisy
매년,every year
발생,generation
셋,three
소주,soju
손바닥,Palm
승용차,car
어색하다,It is awkward
얹다,put on
의학,Medicine
장점,Advantages
적당히,Moderately
줍다,pick up
진출,debouchment
창조,creation
킬로그램,kilogram
평범하다,normal
프로,Pro
홍보,promotion
확인,Confirm
가루,powder
건지다,Get
깨지다,be broken
내다보다,Fetch
대량,block
동행,Accompaniment
들,field
떼,group
마땅하다,Wipe out
바로잡다,Straighten
박히다,enter
방금,just now
생선,fish
슬픔,sadness
아무렇다,Nodify
이용되다,Use
이튿날,the next day
임시,temporary
제거하다,Remove
줄다,shrink
지구,Earth
지우다,erase
참기름,Sesame oil
통,container
특수,special
팬,Pan
합치다,combine
호기심,curiosity
골목,alley
기운,Strength
기획,plan
대충,Roughly
돌아서다,Turn around
동화,Fairytale
두껍다,thick
맞서다,stand opposite each other
모자라다,not enough
박다,drive
본성,original nature
상상하다,Imagine
생산력,productivity
셋째,third
안전하다,safe
유학,Study Abroad
이르다,early
장비,equipment
정치인,politician
정치적,Political
졸업,Graduated
처벌,punishment
카페,Cafe
콤플렉스,complex
검토,Review
그다음,next
기법,technique
끓다,boil
날아오다,Fly
농담,Joke
닭,chicken
담임,Ward
도중,During
두드러지다,Steep
맥주,beer
모래,sand
살아남다,Survive
살인,Murder
성질,Property
신호,signal
아버님,father
의심하다,Doubt
인,sign
잇따르다,Pour
자랑하다,Proud
자판,Keyboard
적용,apply
전기,Electric
중반,Medium
지시하다,Indict
출발,Start
허용하다,permit
가르침,teaching
각국,Earth
교과서,textbook
그려지다,Draw
꾸준히,Steadily
년도,year
다수,many
덕분,thanks for
돼지,pig
두드리다,knock
무리,swarm
물음,question
빌다,beg
수영,Swimming
스님,monk
썩다,rot
어머님,mother
엉뚱하다,Untouch
여보,honey
잊어버리다,forget
정면,face
조각,piece
태우다,Burn
해석,Translate
가리다,blind
개국,Nurse country
계산하다,Calculate
근원,Source
기차,train
담그다,Dip
마음대로,as you please
며느리,Daughter-in-law
믿음,trust
발견,discovery
보고,report
부탁하다,Beg
사용자,user
사회주의,socialism
설치되다,Install
수도권,Metropolitan area
식탁,table
실패하다,fail
영원하다,Eternity
우연히,by chance
자극,Stimulation
정해지다,Destine
직접,directly
짚다,Straw
총리,Prime Minister
칭찬,compliment
튼튼하다,strong
햇빛,sunshine
공원,Park
긍정적,positive
논의하다,discuss
대출,loan
덕,virtue
돌보다,Take care
뒤집다,reverse
먼지,dust
바닷가,Beach
바치다,devote
반하다,fall in love
발표되다,Announce
부정하다,Negate
불러일으키다,Cough
사원,employee
소유자,owner
씹다,chew
아무튼,Anyway
안되다,Furnish
액수,Summary
왠지,Somehow
욕심,greed
우승,Championship
익다,ripe
제출하다,submit
조심스럽다,Be careful
직전,eve
짐작하다,Guess
택하다,select
터,place
피시,Fish
흘러나오다,Fulfill
가구,furniture
간단히,simply
강물,River
거꾸로,Backwards
궁극적,Ultimate
극히,like mad
기여하다,Contribute
꼭,please
날짜,date
대륙,continent
되게,very
뒤따르다,beset
리듬,rhythm
모니터,monitor
범인,criminal
변동,Variance
불가피하다,Unpart
삶다,Boil
샌드위치,Sandwich
서류,document
손해,loss
숨지다,Hide
아유,Ayu
요청,request
운,luck
일상생활,Everyday life
자존심,Pride
주저앉다,Sit down
증권사,Securities companies
진하다,Get
초원,grassland
최종,final
회복하다,to recover
흘러가다,Fulfill
흥미,interest
검사,test
그쪽,That side
꾸다,Fence
내려다보다,Overloar
눈썹,Eyebrow
대신하다,It is instead
두렵다,afraid
등장,appear
디자인,design
마디,word
미처,Maternity
비닐,vinyl
비율,ratio
생물,Biology
소음,noise
양국,Two countries
얼핏,Gothing
오래되다,Long time no see
웬,wen
조각,piece
중부,Central
차,car
채소,vegetable
침,saliva
털,hair
판매하다,sell
항의,protest
해당,Applicable
확보,secure
환경오염,Pollution
가치관,Values
검은색,Black color
고생하다,Is suffering
기원전,B.C.
기타,etc
긴급,Emergency
꺾다,break
꿈꾸다,Dreaming
무려,whopping
묻히다,smear
수표,check
실태,Actuality
아쉽다,it's a shame
애정,Affection
얘,He
어머,Oh
여보세요,Hello
일정,schedule
장르,genre
저렇다,So
접하다,meet
정성,Qualitative
제약,Restrictions
쫓다,run
천,cloth
추가,addition
테이프,tape
품,Yarn
해석,Translate
확인되다,Check
가하다,inflict
간장,Soy sauce
강의,lecture
거,thing
고민하다,Be in agony
과,class
교환,exchange
국어,Korean
노랗다,Yellow
다치다,get hurt
동양,Eastern
동포,compatriots
뚫다,bore
상,Prize
새,bird
악기,instrument
연말,Year-end
올려놓다,put on
외면하다,Exterminate
원고,Manuscript
정말,really
줄곧,All day
지출,expenditure
차,car
치우다,clean up
피로,fatigue
향,incense
개선하다,Improve
계좌,account
당기다,pull
도,do
들다,Hold
따르다,follow
말기,last period
말없이,Without words
망하다,failed
문서,document
박수,applause
부자,Wealthy
사흘,three days
서쪽,West
성립되다,Establish
손자,grandson
신랑,groom
실습,Training
일찍이,early
자율,autonomy
제법,quite
집중되다,Focus
창조적,Creative
천장,ceiling
파다,dig
하긴,but
해결되다,solved
향상,Improving
화가,artist
가라앉다,Sink
감싸다,cover
고작,Manner
구경하다,take a look
국물,soup
기구,Instrument
깔다,lay
다짐하다,Comply with
대합실,waiting room
말씀드리다,Give
매장,store
멀어지다,get further away
명칭,designation
불쌍하다,poor
상업,Commerce
생산되다,Produce
숨기다,hide
실력,skill
야채,vegetable
엉덩이,hip
울음,weeping
이달,This month
인체,anatomy
저고리,Key
전부,all
즐거움,joy
지다,lose
진단,Diagnosis
질병,disease
짜다,salty
체력,health
친하다,close
헤아리다,Disappear
각기,each
경찰서,Police office
곧바로,Right away
관찰,observe
구두,shoes
군사,Military
귀신,ghost
귀하다,Behold
그토록,So
기초하다,Base
깊이,depth
나뭇가지,branch
낫다,better
답하다,Answer
대가,cost
더위,heat
되찾다,get back
말리다,dry
무덤,tomb
물결,wave
밥상,Date of rice
보장하다,Vouch
사과,apologize
사귀다,make friends with
서너,Tester
솟다,tower
실패,failure
예상하다,expect
예외,exception
완전,very
웃기다,funny
유리,glass
절대적,Absolute
제작하다,It is produced
쥐,mouse
최대한,Most
턱,chin
팔리다,sell
품다,incubate
하하,haha
형부,Brother-in-law
휴식,rest
굳다,Stiff
굳어지다,Stiffen
굶다,starve
금년,this year
기기,device
까맣다,Black
나침반,Compass
농부,farmer
대학원,Graduate school
더럽다,dirty
도달하다,Reach
뒤늦다,Back
뒤지다,fall behind
등록,Enrollment
디스크,disk
맛보다,taste
무늬,pattern
문장,sentence
묻다,ask
변호사,lawyer
상,Prize
상상력,imagination
여학생,female student
영업,sales
예,Yes
예방,prevention
완성,complete
유리하다,It is advantageous
자연환경,natural environment
증명하다,Prove
지적되다,Point
지점,Point
철저히,thoroughly
코스,course
학부모,parents
합리적,rational
해석하다,Interpret
힘쓰다,Trouble
거듭,Repeat
귀국하다,Return home
기뻐하다,I am happy
날리다,fly
내려놓다,Put down
냉장고,Refrigerator
당근,carrot
덜다,subtract
뛰어넘다,Jump
마누라,wife
맞이하다,greet
불행하다,Unhappy
신고하다,report
연속,continuity
외롭다,lonely
욕,swear word
원장,ledger
유물,relics
저절로,Overlooking
절,I
정비,Maintenance
주의,caution
지난번,last time
집어넣다,Put in
통계,statistics
파일,file
판,board
피해자,victim
필수적,essential
학용품,stationery
화분,pot
환하다,clear
갈색,Brown
감기,cold
강남,Gangnam
구속되다,Arrest
돌아다니다,Roam
등등,etc
멋지다,cool
반발,repulsion
반찬,side dish
방지,Prevention
배다,conceive
보장,guarantee
빠져나오다,Exit
새다,leak
소개되다,Introduce
씨,Seed
안쪽,inside
억울하다,It is unfair
오가다,come and go
요구되다,Demand
음성,voice
이윽고,yet
장식,decoration
전개하다,Deploy
전날,eve
전반적,Overall
척하다,Pretend
풍습,custom
한가운데,midst
한정되다,Be limited
해내다,accomplish
흉내,mimicry
감옥,prison
갚다,pay back
건전하다,Bet
결혼식,Wedding ceremony
계산기,Calculator
광장,Plaza
그렇지,right
깨다,wake up
꽉,closely
끼우다,insert
노래하다,Sing
다듬다,trim
다름없다,There is no difference.
당당하다,confident
댐,dam
덩어리,Lump
두뇌,brains
등,etc
모처럼,Like
물리학,Physics
벌,punishment
부정적,negative
북부,Northern
분리,separation
상당,Equivalent
세다,count
소개,Introduce
수화기,receiver
애인,lover
애초,Elderly
얇다,thin
양념,seasoning
에,to
오염되다,Contaminate
오해,misunderstanding
웬일,What-day
의식,Consciousness
의지하다,Rely
일기,diary
절대,never
제한하다,Restrict
존중하다,respect
창고,warehouse
채,stick
책임지다,Vouch
청춘,youth
초반,Early
트럭,truck
파,green onion
폭넓다,Extend
표현되다,Express
학번,Student ID
학원,Academy
허가,permission
헤매다,wander about
가장,the most
곡,song
곡식,grain
꽂다,stick
두려움,fear
망설이다,Hesitate
무리,swarm
버터,butter
별다르다,Distance
보편적,Universal
부품,part
뻔하다,Obscure
뽑히다,Pull out
상담,consulting
서부,Western
속담,Proverb
시중,city
심사,judge
아이,kid
앞세우다,Set up
유사하다,similar
유치원,kindergarden
의욕,Will
인근,vicinity
일반인,General
작성하다,Draw up
전공,Major
정기,Routine
제의,suggest
종일,all day
좋아지다,Get better
차림,Exile
창조하다,Create
추위,cold
토마토,tomato
파랗다,Blue
펴내다,Turn out
하드웨어,hardware
화장,Makeup
가져가다,Take away
감자,potato
강렬하다,Intense
갖다,have
괴롭다,pain
교통사고,Traffic Accident
군데,Having
내일,tomorrow
되풀이하다,Repeat
딱,Perfect
리,Lee
메시지,message
면하다,Face
모색하다,Seize
붙잡다,seize
빛깔,color
뺨,cheek
사방,Everywhere
살림,livelihood
실현,present
아냐,Nope
연예인,Celebrity
영원히,forever
월급,salary
유행,trend
이내,Within
이리,Wolf
제발,please
차츰,Gradually
투표,vote
파괴하다,destroy
하느님,God
해당되다,Correspond
홀로,alone
가까이,closely
가득하다,full in here
각자,Each
감히,dare
강요하다,Compel
개미,ant
관습,custom
광경,scene
금세,Money
낮추다,lower
내주다,let
명의,Name
물고기,fish
물러나다,Back
밀접하다,Close
부탁,Request
분량,amount
불과,Just
뻔하다,Obscure
상자,Box
새해,New Year
소박하다,Rustic
수없이,Countless
승진,promotion
양,sheep
얼음,ice
열매,Fruit
적히다,Rather
점수,score
제한되다,Limit
지속되다,continue
쫓기다,Pear
쭉,Tall
통장,Bank book
평가되다,Evolve
하도,Subway
한창,Trunk
해안,Coast
호박,pumpkin
흑인,black
간,liver
갇히다,be confined
결심하다,Decide
경기장,Stadium
고장,breakdown
근로,Work
눈동자,pupil
늦다,late
닥치다,befall
도시락,lunch box
뜯다,Pick up
몸짓,gesture
부담하다,Bear
부회장,vice-chairman
빼앗다,Steal
삼키다,gulp down
성실하다,Faith
스튜디오,studio
실제,real
요새,these days
이상적,Ideal
일쑤,Days
일체,one body
자꾸만,keeps on
잦다,often
절망,despair
접다,fold
제시되다,Present
주방,kitchen
진출하다,Advance
짜증,petulance
첫날,First day
통과하다,Pass
투명하다,Transparency
확산되다,Spread
경력,career
고통스럽다,Pain
곤란하다,It is difficult
공중,Public
공해,Pollution
귀찮다,Annoying
기대다,lean
깨어나다,wake up
꼽히다,Behold
대다수,plurality
듯싶다,Want
먹이,food
무,radish
무료,free
밉다,hate
발레,ballet
상징하다,symbolizes
실현하다,Realize
아깝다,what a waste
안정되다,Stabilize
어리석다,stupid
엎드리다,kneel down
여럿,many
연설,speech
연필,pencil
염려,worry
우습다,Crown
운전,drive
익숙하다,be used to
일자,Date
잔치,party
전달되다,Deliver
전부,all
차다,cold
치료하다,Treat
칸,Cannes
한,One
갈수록,Great
갖가지,Visiting
거절하다,refuse
관광객,tourist
구별하다,Distinguish
국,soup
다행,Relief
동의,agreement
마무리,finish
마주치다,Come across
막상,Overhead
몇,some
몸통,body
못,pond
묘사하다,Depict
미술관,Art gallery
베다,mow
보장되다,Guarantee
볼,cheek
부분적,Partial
불고기,Bul Gogi
불리다,Blow
불행,Unhappiness
비명,scream
순수,pure
시각,Time
실질적,Practical
안개,Fog
여름철,Summer
오로지,only
완성하다,to complete
이런저런,Such a
임무,mission
자연히,naturally
장난,joke
저런,That
전용,private
지극히,Extremely
청하다,ask
확정,confirmed
가상,email
각자,Each
간혹,sometimes
개방하다,Open
관계되다,Relate
국산,Domestic
그해,That year
꺼지다,go out
꼭대기,top
끊어지다,Break
도,do
리그,League
마이크,MIC
만족하다,Is satisfied
메우다,fill up
면적,area
목욕,bath
반성,regret
벌떡,Strip
보상,compensation
분리되다,Separate
빚,debt
새기다,carve
서민,people
석,three
선정하다,select
세다,count
소수,decimal
쇼,show
수학,math
시어머니,mother-in-law
시집,divan
연간,yearly
영화제,Film festival
예측하다,predict
용도,purpose
의심,doubt
이동하다,move
자극하다,stimulate
재빨리,quickly
적합하다,Suitable
전화번호,Phone number
조절하다,Modulate
조정,adjustment
중얼거리다,Mumble
지급하다,Paid
확장,expand
힘차다,Render
감사하다,Thank
건조,dry
고요하다,Quiet
그대,you
그립다,Miss you
긋다,draw
기둥,Pillar
긴장하다,nervous
날카롭다,Sharp
논하다,reason
느리다,slow
도덕,moral
동부,Eastern
뒷모습,back
똑똑하다,Smart
만,just
만만하다,Only
못되다,Furnish
보고하다,Make a report
사무소,office
사촌,cousin
상,Prize
상인,merchant
선언하다,declare
소원,wish
수입하다,Import
식다,cool down
엿보다,watch for
완성되다,Finish
유적,ruins
일생,lifetime
입히다,plate
잡아먹다,Take
정보화,Informationization
종종,often
지갑,wallet
차다,cold
창작,Creation
축소,reduction
취향,taste
친절하다,nice
카운터,counter
탄생하다,Be born
하숙집,Boarding house
학급,class
해군,Navy
효율적,efficient
가슴속,breast
간,liver
간판,Sign
건드리다,Tack
관리하다,Administrate
괴로움,suffering
근거하다,Understood
금액,Price
다행히,Fortunately
달래다,lull
동아리,club
따라오다,Follow
말리다,dry
맘,Mam
먹다,eat
명절,holiday
못하다,Can not do it
바이올린,violin
밝혀내다,Reveal
부서지다,break
비행,flight
상관없다,Does not matter
성립하다,Establish
수명,life span
시즌,season
신기하다,Miraculous
업다,Get up
예감,presentiment
음식물,prog
자신감,Confidence
죄인,sinner
주의하다,pay heed to
준비물,materials
천,cloth
출입,coming and going
쾌감,Pleasure
탄생,birth
튀다,splatter
하필,Harf Phil
활용,uses
회색,Gray
거액,mint
고교,High school
고집하다,Stubbind
곧잘,Soon
골짜기,valley
교훈,Lesson
구르다,recoil
글씨,Writing
노래방,karaoke
단편,snippet
달다,Sweet
대처하다,Cope
매다,Tie
머리카락,hair
명확하다,Clarify
발걸음,footfall
발길,Foot
벌레,bug
빼앗기다,Take away
생산자,producer
선진,Advanced
성인,adult
소매,Sleeve
시멘트,cement
신규,new
신청하다,Put in for
실은,actually
심판,Referee
안기다,Fetch
양심,Conscience
이사장,Chairman
이자,interest
익숙해지다,Accustomed
자세하다,Put on
저거,that
저축,saving
제비,swallow
제안,proposal
제안하다,Propose
증세,Symptom
지난날,Last Day
진급,promotion
콩나물,Bean sprouts
튀어나오다,pop up
표준,Standard
항구,Harbor
허용,permit
헬기,helicopter
간신히,barely
갈아입다,change
감다,reel in
같이하다,Put together
거짓,lie
거품,bubble
걸어오다,Walk
공군,air Force
기술자,technician
나물,Herbs
년생,Years old
달리기,running
대도시,big city
도둑,theif
도전,challenge
면,noodle
모자,hat
보조,assistant
불리하다,Disadvantage
불편,Inconvenience
비비다,rub
사과,apologize
살아나다,Live
소파,Sofa
속이다,cheat
수면,Sleep
수천,Thousand
스무,Twist
승부,Ward
시기,period
신념,belief
신입생,freshman
어린아이,Young kid
어쩐지,no wonder
여간,Fully
역,station
연락하다,contact
영향력,Influence
예의,Courtesy
이내,Within
이리저리,back and forth
인간적,Human
인사하다,Greet
임금,wage
잘나다,Fully
재능,Talent
지불하다,Pay
파출소,Pharma
판,board
한문,Chinese
건네주다,Pass
결승,finals
공공,public
교양,Culture
국왕,King
규칙적,regular
극복,Overcome
글쎄요,well
내려지다,Fall down
냉동,frozen
녹다,melt
대개,mostly
배추,Napa cabbage
센터,center
수염,mustache
수집하다,collect
승객,passenger
싱싱하다,Singing
아아,iced coffee
어리다,young
여권,passport
열쇠,key
오렌지,Orange
외모,look
인공,art
잠자리,dragonfly
장남,eldest son
저마다,Every time
전국적,Nationwide
전반,Overall
제자리,In place
지루하다,Bored
척,chuck
포도주,wine
학술,Academic
혈액,blood
화살,arrow
화재,fire
가르다,divide
각각,each
간격,interval
고함,shout
공격하다,attack
그놈,Gnome
기록되다,Record
끝없다,End
끼어들다,Interrange
노선,route
답,answer
대사,line
도망치다,run away
독서,Reading
동,Dong
동의하다,Agree
딱딱하다,It's hard
땅속,bowels of the earth
벌금,Fine
복,luck
봉사,volunteer
부서,Department
성,Castle
소형,small type
신인,new man
악몽,nightmare
안내,guide
앞뒤,Back and forth
언덕,Hill
열정,enthusiasm
오페라,opera
입맛,taste
재즈,jazz
적응하다,It is adapted
절대,never
접시,Dish
제공,offer
지나치다,go too far
참가,attend
체중,weight
추석,Thanksgiving
충돌,crash
통로,Passage
포장,packaging
해소,solution
행해지다,Be done
현관,entrance
현대인,modern
혜택,Benefits
호수,Lake
확,sudden
건너가다,Go across
골고루,Evenly
구석구석,Corner
그제서야,So
껌,chewing gum
녹색,green
다,all
등록증,Registration certificate
막내,the youngest
반복되다,Repeat
발전,Development
방해,Hindrance
번호,number
벼,rice
본인,me
상점,shop
수백,Hundreds
실장,head of a department
쓸쓸하다,I am lonely
악수,handshake
애,baby
어지럽다,dizzy
어찌하다,Impure
예정되다,Be scheduled
이중,double
인원,personnel
인정받다,Affirmed
인터뷰,interview
입학하다,Enter a school
자랑,Boast
저것,that
정문,Front Door
착각,mistaken
창,window
친정,Jar
켜지다,Turn on
타입,type
팩,pack
표시하다,Denote
행하다,hold
활짝,Wide
감상하다,Appreciate
개별,Individual
공식적,Formal
그런대로,enough
기독교,Christian
깨달음,enlightenment
끼다,Put on
넘어지다,fall down
눈부시다,Dazzle
단점,disadvantage
들려주다,Hear
뚜껑,Lid
마음먹다,Ease
목록,List
반복하다,repeat
반성하다,reflect
별명,Nickname
보전,integrity
불어오다,Blow
소유하다,own
수박,watermelon
스위치,switch
신세,Sag
아까,earlier
알아내다,to find out
암,cancer
야단,Fuss
얘,He
엔,N
연결,connect
연관,Relation
용서하다,Forgive
우정,friendship
육군,army
음식점,restaurant
의논하다,to discuss
인분,Servings
주요하다,Lead
죽,porridge
차마,Come on
참조,Reference
첫째,first
타고나다,Ride
태우다,Burn
행사,event
향수,perfume
허용되다,Accept
가입,join
가정,home
과자,snack
교체,substitute
김,seaweed
꼬마,child
끝없이,eternally
나르다,tote
놀리다,Badinage
늘어놓다,Lion
닫히다,shut
대표하다,to represent
대학교,University
도로,road name
돼지고기,Pork
두려워하다,to be afraid of
뜻밖,Out
막걸리,Makgeolli
맡다,take on
미스,miss
밀리다,be shaved
밥그릇,Bob bowl
방문,visit
병들다,Ill
부러지다,Break
불꽃,flame
상대성,relativity
설문,survey
소설가,novelist
쓸다,Wipe out
안녕히,Bye
안팎,Inside
예방하다,prevent
올,all
유의하다,Pay
유학,Study Abroad
이해되다,Understand
인하,Cut
작성,write
잘리다,cut
전달,relay
전시회,Exhibition
전화하다,make a phone call to
전환하다,Convert
정치학,politics
좌석,seat
주문,order
집안일,housework
체계적,Systematic
출근,Go to work
크림,cream
탁월하다,Be excellent
텅,Tongue
토하다,vomit
푹,Figurine
한순간,A moment
가사,lyrics
가입자,Subscribers
감소하다,Diminish
개구리,frog
결과적,"As a result,"
괴롭히다,bother
구별,Distinction
깨우다,wake up
끈,string
끊기다,Break
끊임없다,Endeavor
넉넉하다,Conquer
동전,coin
두어,Bite
마약,drug
밑바닥,bottom
보도되다,Report
보리,barley
본부,headquarters
부,wealth
성숙하다,Mature
소극적,passive
소용,use
손질하다,Trim
수건,Towel
순식간,wink
시도,trial
시집,divan
아무개,One
약점,Weakness
양복,suit
어째서,why
어쩌다,What
얼다,freeze
여,female
연령,age
예비,Spare
